State,District,Population_Share_district,MPI_District,Headcount_Ratio,Intensity_of_Deprivation,Total_Population,,Number_of_MPI_PeopleDistrict_InThousand,Number_of_MPI_PeopleDistrict
Madhya Pradesh,Dhar,0.20%,0.205,44.3,46.3,"2,610","13,24,171","1,157",1157000
Madhya Pradesh,Dindori,0.06%,0.278,61.2,45.4,819,"13,24,171",502,502000
Madhya Pradesh,Guna,0.13%,0.222,49.5,44.8,"1,700","13,24,171",841,841000
Madhya Pradesh,Gwalior,0.19%,0.096,22.8,42.2,"2,560","13,24,171",583,583000
Madhya Pradesh,Harda,0.05%,0.152,34.2,44.5,684,"13,24,171",234,234000
Madhya Pradesh,Hoshangabad,0.12%,0.112,26.9,41.8,"1,564","13,24,171",420,420000
Madhya Pradesh,Indore,0.35%,0.051,12,42.9,"4,628","13,24,171",554,554000
Madhya Pradesh,Jabalpur,0.20%,0.104,24.8,42,"2,652","13,24,171",657,657000
Madhya Pradesh,Jhabua,0.10%,0.37,71.5,51.8,"1,276","13,24,171",913,913000
Madhya Pradesh,Katni,0.12%,0.185,42.7,43.4,"1,542","13,24,171",658,658000
Madhya Pradesh,Khandwa (East Nimar),0.12%,0.21,46.5,45.1,"1,550","13,24,171",720,720000
Madhya Pradesh,Khargone (West Nimar),0.16%,0.188,42.4,44.5,"2,152","13,24,171",912,912000
Madhya Pradesh,Mandla,0.08%,0.247,54.6,45.2,"1,112","13,24,171",607,607000
Madhya Pradesh,Mandsaur,0.13%,0.158,38.4,41.2,"1,745","13,24,171",670,670000
Madhya Pradesh,Morena,0.17%,0.158,37.5,42.2,"2,315","13,24,171",868,868000
Madhya Pradesh,Narsimhapur,0.10%,0.133,31.6,42,"1,321","13,24,171",417,417000
Madhya Pradesh,Neemuch,0.08%,0.145,34.3,42.1,"1,021","13,24,171",350,350000
Madhya Pradesh,Panna,0.09%,0.211,47.4,44.6,"1,164","13,24,171",552,552000
Madhya Pradesh,Raisen,0.13%,0.167,39.8,41.9,"1,666","13,24,171",663,663000
Madhya Pradesh,Rajgarh,0.15%,0.21,48.5,43.3,"1,960","13,24,171",951,951000
Madhya Pradesh,Ratlam,0.13%,0.197,43.3,45.5,"1,698","13,24,171",736,736000
Madhya Pradesh,Rewa,0.20%,0.174,41.7,41.7,"2,706","13,24,171","1,128",1128000
Madhya Pradesh,Sagar,0.19%,0.174,42.3,41.2,"2,541","13,24,171","1,074",1074000
Madhya Pradesh,Satna,0.19%,0.159,38.5,41.3,"2,538","13,24,171",977,977000
Madhya Pradesh,Sehore,0.12%,0.135,30.9,43.7,"1,615","13,24,171",499,499000
Madhya Pradesh,Seoni,0.11%,0.214,50.9,42.1,"1,503","13,24,171",765,765000
Madhya Pradesh,Shahdol,0.09%,0.22,50.8,43.3,"1,246","13,24,171",634,634000
Madhya Pradesh,Shajapur,0.13%,0.175,41,42.6,"1,712","13,24,171",702,702000
Madhya Pradesh,Sheopur,0.06%,0.258,55.5,46.6,784,"13,24,171",435,435000
Madhya Pradesh,Shivpuri,0.16%,0.219,49.2,44.5,"2,168","13,24,171","1,067",1067000
Madhya Pradesh,Sidhi,0.10%,0.255,57.4,44.5,"1,325","13,24,171",760,760000
Madhya Pradesh,Singrauli,0.11%,0.27,57.4,47.1,"1,413","13,24,171",811,811000
Madhya Pradesh,Tikamgarh,0.12%,0.213,49.1,43.4,"1,545","13,24,171",758,758000
Madhya Pradesh,Ujjain,0.17%,0.13,30.2,42.9,"2,284","13,24,171",691,691000
Madhya Pradesh,Umaria,0.06%,0.22,51.2,43,749,"13,24,171",383,383000
Madhya Pradesh,Vidisha,0.13%,0.213,46.6,45.8,"1,758","13,24,171",819,819000
Maharashtra,Ahmadnagar,0.41%,0.068,16.8,40.7,"5,454","13,24,171",914,914000
Maharashtra,Akola,0.15%,0.066,17.6,37.6,"1,981","13,24,171",349,349000
Maharashtra,Amravati,0.23%,0.066,17.2,38.5,"3,086","13,24,171",530,530000
Maharashtra,Aurangabad,0.32%,0.066,16.4,40.4,"4,224","13,24,171",693,693000
Maharashtra,Bhandara,0.11%,0.046,12.1,38.2,"1,479","13,24,171",179,179000
Maharashtra,Bid,0.21%,0.102,24.8,41.2,"2,785","13,24,171",690,690000
Maharashtra,Buldana,0.21%,0.094,23.2,40.6,"2,777","13,24,171",643,643000
Maharashtra,Chandrapur,0.18%,0.092,22.5,41.1,"2,437","13,24,171",548,548000
Maharashtra,Dhule,0.17%,0.168,36.6,45.7,"2,291","13,24,171",839,839000
Maharashtra,Gadchiroli,0.08%,0.117,30,39,"1,071","13,24,171",321,321000
Maharashtra,Gondiya,0.10%,0.102,27.5,37,"1,308","13,24,171",360,360000
Maharashtra,Hingoli,0.09%,0.128,31.7,40.5,"1,250","13,24,171",396,396000
Maharashtra,Jalgaon,0.31%,0.084,19.7,42.6,"4,161","13,24,171",819,819000
Maharashtra,Jalna,0.16%,0.138,33.8,40.8,"2,143","13,24,171",724,724000
Maharashtra,Kolhapur,0.32%,0.042,11.2,37.9,"4,217","13,24,171",473,473000
Maharashtra,Latur,0.18%,0.089,23.1,38.3,"2,397","13,24,171",554,554000
Maharashtra,Mumbai,0.26%,0.013,3.3,38.3,"3,409","13,24,171",113,113000
Maharashtra,Mumbai Suburban,0.81%,0.013,3.2,42.1,"10,768","13,24,171",343,343000
Maharashtra,Nagpur,0.38%,0.031,8.2,37.2,"5,039","13,24,171",414,414000
Maharashtra,Nanded,0.29%,0.126,31.2,40.3,"3,803","13,24,171","1,185",1185000
Maharashtra,Nandurbar,0.13%,0.3,60.3,49.7,"1,705","13,24,171","1,029",1029000
Maharashtra,Nashik,0.64%,0.087,20.2,42.8,"8,462","13,24,171","1,713",1713000
Maharashtra,Osmanabad,0.12%,0.079,19.7,40.2,"1,557","13,24,171",307,307000
Maharashtra,Parbhani,0.16%,0.102,26.5,38.4,"2,107","13,24,171",559,559000
Maharashtra,Pune,0.73%,0.023,5.8,38.8,"9,731","13,24,171",569,569000
Maharashtra,Raigarh,0.26%,0.049,11.8,41.5,"3,454","13,24,171",406,406000
Maharashtra,Ratnagiri,0.14%,0.078,20.4,38.3,"1,857","13,24,171",379,379000
Maharashtra,Sangli,0.25%,0.044,11.2,39.4,"3,318","13,24,171",370,370000
Maharashtra,Satara,0.25%,0.048,12.6,37.6,"3,333","13,24,171",421,421000
Maharashtra,Sindhudurg,0.06%,0.064,17.1,37.5,840,"13,24,171",143,143000
Maharashtra,Solapur,0.37%,0.061,15,40.5,"4,867","13,24,171",731,731000
Maharashtra,Thane,1.01%,0.071,15.7,45.1,"13,339","13,24,171","2,095",2095000
Maharashtra,Wardha,0.11%,0.047,12,39.3,"1,399","13,24,171",167,167000
Maharashtra,Washim,0.10%,0.102,26,39.3,"1,355","13,24,171",353,353000
Maharashtra,Yavatmal,0.24%,0.117,28.9,40.5,"3,235","13,24,171",934,934000
Manipur,Bishnupur,0.01%,0.081,21.5,37.8,192,"13,24,171",41,41000
Manipur,Chandel,0.01%,0.107,25.1,42.8,104,"13,24,171",26,26000
Manipur,Churachandpur,0.02%,0.094,21.7,43.1,208,"13,24,171",45,45000
Manipur,Imphal East,0.04%,0.08,20,39.8,494,"13,24,171",99,99000
Manipur,Imphal West,0.04%,0.039,10.5,37,570,"13,24,171",60,60000
Manipur,Senapati (Excluding 3 Sub-Divisions),0.01%,0.132,31.9,41.4,157,"13,24,171",50,50000
Manipur,Tamenglong,0.01%,0.159,36.5,43.7,107,"13,24,171",39,39000
Manipur,Thoubal,0.03%,0.089,22.6,39.3,409,"13,24,171",92,92000
Manipur,Ukhrul,0.01%,0.12,28.6,41.9,142,"13,24,171",41,41000
Meghalaya,East Garo Hills,0.03%,0.192,43.4,44.2,359,"13,24,171",156,156000
Meghalaya,East Khasi Hills,0.07%,0.1,23.4,42.9,888,"13,24,171",207,207000
Meghalaya,Jaintia Hills,0.03%,0.213,43.9,48.5,403,"13,24,171",177,177000
Meghalaya,Ribhoi,0.02%,0.209,45,46.6,250,"13,24,171",112,112000
Meghalaya,South Garo Hills,0.01%,0.05,12.9,39.1,151,"13,24,171",19,19000
Meghalaya,West Garo Hills,0.05%,0.134,31.4,42.6,688,"13,24,171",216,216000
Meghalaya,West Khasi Hills,0.03%,0.152,34.4,44.1,384,"13,24,171",132,132000
Mizoram,Aizawl,0.03%,0.006,1.6,39.5,458,"13,24,171",8,8000
Mizoram,Champhai,0.01%,0.032,8.4,37.6,121,"13,24,171",10,10000
Mizoram,Kolasib,0.01%,0.041,9.3,43.7,67,"13,24,171",6,6000
Mizoram,Lawngtlai,0.01%,0.152,30.3,50.2,121,"13,24,171",37,37000
Mizoram,Lunglei,0.01%,0.043,10.4,41.8,167,"13,24,171",17,17000
Mizoram,Mamit,0.01%,0.128,27.1,47.3,82,"13,24,171",22,22000
Mizoram,Saiha,0.00%,0.046,11.5,39.8,54,"13,24,171",6,6000
Mizoram,Serchhip,0.00%,0.014,3.7,37.9,50,"13,24,171",2,2000
Nagaland,Dimapur,0.03%,0.072,16,45.1,361,"13,24,171",58,58000
Nagaland,Kiphire,0.01%,0.133,33.5,39.7,68,"13,24,171",23,23000
Nagaland,Kohima,0.01%,0.041,10.8,37.9,193,"13,24,171",21,21000
Nagaland,Longleng,0.00%,0.139,34.1,40.6,40,"13,24,171",14,14000
Nagaland,Mokokchung,0.01%,0.036,10.1,35.6,110,"13,24,171",11,11000
Nagaland,Mon,0.02%,0.184,41.4,44.4,238,"13,24,171",98,98000
Nagaland,Peren,0.01%,0.1,24.2,41.5,68,"13,24,171",16,16000
Nagaland,Phek,0.01%,0.096,24.5,39,152,"13,24,171",37,37000
Nagaland,Tuensang,0.01%,0.144,35,41.2,157,"13,24,171",55,55000
Nagaland,Wokha,0.01%,0.056,14.2,39.2,77,"13,24,171",11,11000
Nagaland,Zunheboto,0.01%,0.08,21,37.9,120,"13,24,171",25,25000
Odisha,Anugul,0.11%,0.129,31.3,41.4,"1,473","13,24,171",460,460000
Odisha,Balangir,0.16%,0.18,43.6,41.3,"2,162","13,24,171",943,943000
Odisha,Baleshwar,0.20%,0.124,30.5,40.8,"2,587","13,24,171",790,790000
Odisha,Bargarh,0.13%,0.142,35.4,40,"1,762","13,24,171",625,625000
Odisha,Baudh,0.04%,0.186,45.4,40.9,503,"13,24,171",228,228000
Odisha,Bhadrak,0.12%,0.138,35.2,39.2,"1,632","13,24,171",574,574000
Odisha,Cuttack,0.20%,0.066,16.4,40.2,"2,625","13,24,171",431,431000
Odisha,Debagarh,0.02%,0.185,41.3,44.8,330,"13,24,171",136,136000
Odisha,Dhenkanal,0.10%,0.157,37.4,42.1,"1,269","13,24,171",475,475000
Odisha,Gajapati,0.05%,0.195,44,44.3,637,"13,24,171",280,280000
Odisha,Ganjam,0.25%,0.103,23.6,43.6,"3,275","13,24,171",774,774000
Odisha,Jagatsinghapur,0.09%,0.064,16.7,38.2,"1,163","13,24,171",194,194000
Odisha,Jajapur,0.14%,0.103,25,41.3,"1,916","13,24,171",479,479000
Odisha,Jharsuguda,0.05%,0.115,29.5,38.8,641,"13,24,171",189,189000
Odisha,Kalahandi,0.13%,0.249,55.2,45.1,"1,774","13,24,171",978,978000
Odisha,Kandhamal,0.06%,0.231,51.1,45.2,831,"13,24,171",425,425000
Odisha,Kendrapara,0.12%,0.107,27.2,39.4,"1,582","13,24,171",431,431000
Odisha,Kendujhar,0.15%,0.215,45.7,47,"1,985","13,24,171",908,908000
Odisha,Khordha,0.18%,0.072,17.4,41.5,"2,449","13,24,171",426,426000
Odisha,Koraput,0.11%,0.275,56.1,49.1,"1,506","13,24,171",844,844000
Odisha,Malkangiri,0.05%,0.327,64.9,50.4,697,"13,24,171",453,453000
Odisha,Mayurbhanj,0.19%,0.227,51,44.6,"2,548","13,24,171","1,298",1298000
Odisha,Nabarangapur,0.11%,0.308,64,48.2,"1,408","13,24,171",901,901000
Odisha,Nayagarh,0.08%,0.102,24.5,41.6,997,"13,24,171",244,244000
Odisha,Nuapada,0.06%,0.215,50.1,42.8,779,"13,24,171",390,390000
Odisha,Puri,0.14%,0.058,15.3,37.6,"1,859","13,24,171",285,285000
Odisha,Rayagada,0.08%,0.26,54.1,48,"1,009","13,24,171",546,546000
Odisha,Sambalpur,0.09%,0.145,35.9,40.2,"1,134","13,24,171",408,408000
Odisha,Subarnapur,0.06%,0.151,38.6,39.2,734,"13,24,171",284,284000
Odisha,Sundargarh,0.16%,0.143,34.2,41.8,"2,174","13,24,171",744,744000
Puducherry,Karaikal,0.02%,0.024,6.9,34.5,216,"13,24,171",15,15000
Puducherry,Mahe,0.00%,0.001,0.2,35.7,40,"13,24,171",0,0
Puducherry,Puducherry,0.08%,0.01,2.6,37.8,"1,004","13,24,171",26,26000
Puducherry,Yanam,0.00%,0.024,6.2,38.4,53,"13,24,171",3,3000
Punjab,Amritsar,0.19%,0.033,7.8,42.2,"2,517","13,24,171",197,197000
Punjab,Barnala,0.05%,0.023,5.6,42.1,643,"13,24,171",36,36000
Punjab,Bathinda,0.11%,0.029,7.2,40.2,"1,448","13,24,171",104,104000
Punjab,Faridkot,0.08%,0.02,5.2,38.1,"1,109","13,24,171",58,58000
Punjab,Fatehgarh Sahib,0.04%,0.016,3.9,42.5,577,"13,24,171",22,22000
Punjab,Firozpur,0.16%,0.047,11.5,40.5,"2,076","13,24,171",240,240000
Punjab,Gurdaspur,0.17%,0.024,5.9,40.7,"2,297","13,24,171",135,135000
Punjab,Hoshiarpur,0.13%,0.023,5.6,41,"1,694","13,24,171",94,94000
Punjab,Jalandhar,0.18%,0.008,2.1,38.5,"2,449","13,24,171",52,52000
Punjab,Kapurthala,0.06%,0.029,6.4,44.7,764,"13,24,171",49,49000
Punjab,Ludhiana,0.27%,0.016,3.7,43.2,"3,616","13,24,171",133,133000
Punjab,Mansa,0.06%,0.046,11.5,39.6,860,"13,24,171",99,99000
Punjab,Moga,0.08%,0.033,8.2,40.1,"1,028","13,24,171",85,85000
Punjab,Muktsar,0.08%,0.039,9.3,41.4,"1,000","13,24,171",93,93000
Punjab,Patiala,0.17%,0.015,3.7,40.5,"2,225","13,24,171",82,82000
Punjab,Rupnagar,0.05%,0.012,3.1,38.7,681,"13,24,171",21,21000
Punjab,Sahibzada Ajit Singh Nagar,0.07%,0.023,5,46.4,928,"13,24,171",47,47000
Punjab,Sangrur,0.05%,0.014,3.6,38.6,601,"13,24,171",21,21000
Punjab,Shahid Bhagat Singh Nagar,0.13%,0.025,6.2,40.4,"1,773","13,24,171",109,109000
Punjab,Tarn Taran,0.09%,0.04,9.6,41.9,"1,204","13,24,171",115,115000
Rajasthan,Ajmer,0.22%,0.076,17.5,43.6,"2,931","13,24,171",512,512000
Rajasthan,Alwar,0.29%,0.128,30.4,42.1,"3,880","13,24,171","1,180",1180000
Rajasthan,Banswara,0.16%,0.27,55.6,48.6,"2,133","13,24,171","1,185",1185000
Rajasthan,Baran,0.11%,0.161,37.5,43,"1,399","13,24,171",524,524000
Rajasthan,Barmer,0.20%,0.287,55.8,51.3,"2,671","13,24,171","1,492",1492000
Rajasthan,Bharatpur,0.21%,0.192,42.4,45.2,"2,832","13,24,171","1,202",1202000
Rajasthan,Bhilwara,0.21%,0.138,31.7,43.7,"2,758","13,24,171",874,874000
Rajasthan,Bikaner,0.19%,0.113,25.5,44.4,"2,480","13,24,171",633,633000
Rajasthan,Bundi,0.08%,0.161,36.3,44.2,"1,116","13,24,171",406,406000
Rajasthan,Chittaurgarh,0.12%,0.144,32.9,43.8,"1,537","13,24,171",506,506000
Rajasthan,Churu,0.16%,0.095,22.5,42.1,"2,105","13,24,171",474,474000
Rajasthan,Dausa,0.12%,0.121,29.6,41,"1,647","13,24,171",488,488000
Rajasthan,Dhaulpur,0.09%,0.181,41.8,43.3,"1,248","13,24,171",521,521000
Rajasthan,Dungarpur,0.12%,0.245,52.3,46.8,"1,565","13,24,171",819,819000
Rajasthan,Ganganagar,0.17%,0.072,17.6,40.8,"2,305","13,24,171",406,406000
Rajasthan,Hanumangarh,0.14%,0.093,21.4,43.3,"1,902","13,24,171",407,407000
Rajasthan,Jaipur,0.46%,0.066,16,40.9,"6,152","13,24,171",986,986000
Rajasthan,Jaisalmer,0.05%,0.275,54,50.9,723,"13,24,171",391,391000
Rajasthan,Jalor,0.15%,0.209,44,47.4,"2,028","13,24,171",893,893000
Rajasthan,Jhalawar,0.12%,0.17,37.7,45,"1,570","13,24,171",592,592000
Rajasthan,Jhunjhunun,0.17%,0.059,14.5,40.4,"2,287","13,24,171",332,332000
Rajasthan,Jodhpur,0.31%,0.14,30.4,46,"4,088","13,24,171","1,243",1243000
Rajasthan,Karauli,0.11%,0.19,43.1,44.1,"1,462","13,24,171",630,630000
Rajasthan,Kota,0.16%,0.076,18.1,41.9,"2,092","13,24,171",379,379000
Rajasthan,Nagaur,0.26%,0.108,25,43.4,"3,407","13,24,171",851,851000
Rajasthan,Pali,0.17%,0.117,26.4,44.4,"2,232","13,24,171",590,590000
Rajasthan,Pratapgarh,0.07%,0.28,57.8,48.3,984,"13,24,171",569,569000
Rajasthan,Rajsamand,0.09%,0.146,33.7,43.3,"1,252","13,24,171",421,421000
Rajasthan,Sawai Madhopur,0.12%,0.158,37.1,42.7,"1,528","13,24,171",567,567000
Rajasthan,Sikar,0.22%,0.061,14.9,40.6,"2,900","13,24,171",432,432000
Rajasthan,Sirohi,0.08%,0.207,42.5,48.9,"1,073","13,24,171",456,456000
Rajasthan,Tonk,0.12%,0.12,29.2,41.2,"1,562","13,24,171",456,456000
Rajasthan,Udaipur,0.25%,0.264,52.5,50.4,"3,297","13,24,171","1,731",1731000
Sikkim,East District,0.02%,0.018,4.9,37.3,272,"13,24,171",13,13000
Sikkim,North  District,0.00%,0.022,5.8,38,29,"13,24,171",2,2000
Sikkim,South District,0.01%,0.011,2.9,39.3,134,"13,24,171",4,4000
Sikkim,West District,0.01%,0.026,6.8,38.7,121,"13,24,171",8,8000
Tamil Nadu,Ariyalur,0.06%,0.054,15,36.2,826,"13,24,171",124,124000
Tamil Nadu,Chennai,0.46%,0.005,1.4,38.8,"6,034","13,24,171",84,84000
Tamil Nadu,Coimbatore,0.35%,0.012,3.2,36.3,"4,631","13,24,171",147,147000
Tamil Nadu,Cuddalore,0.23%,0.053,14.3,36.8,"3,087","13,24,171",441,441000
Tamil Nadu,Dharmapuri,0.14%,0.026,6.9,37.8,"1,806","13,24,171",124,124000
Tamil Nadu,Dindigul,0.21%,0.025,6.9,36.4,"2,793","13,24,171",193,193000
Tamil Nadu,Erode,0.25%,0.014,3.4,41.1,"3,367","13,24,171",113,113000
Tamil Nadu,Kancheepuram,0.39%,0.017,4.5,37.3,"5,163","13,24,171",232,232000
Tamil Nadu,Kanniyakumari,0.19%,0.006,1.6,34.6,"2,488","13,24,171",40,40000
Tamil Nadu,Karur,0.11%,0.028,7.5,36.5,"1,489","13,24,171",112,112000
Tamil Nadu,Krishnagiri,0.18%,0.035,9.3,37.9,"2,442","13,24,171",228,228000
Tamil Nadu,Madurai,0.26%,0.026,7,37.9,"3,488","13,24,171",243,243000
Tamil Nadu,Nagapattinam,0.15%,0.05,13.7,36.6,"1,963","13,24,171",269,269000
Tamil Nadu,Namakkal,0.16%,0.014,3.6,39.2,"2,157","13,24,171",78,78000
Tamil Nadu,Perambalur,0.05%,0.045,12.2,37.1,661,"13,24,171",81,81000
Tamil Nadu,Pudukkottai,0.14%,0.064,17.4,36.7,"1,819","13,24,171",317,317000
Tamil Nadu,Ramanathapuram,0.12%,0.036,9.7,37.5,"1,563","13,24,171",152,152000
Tamil Nadu,Salem,0.31%,0.034,8,41.7,"4,124","13,24,171",331,331000
Tamil Nadu,Sivaganga,0.12%,0.054,14.6,37.3,"1,532","13,24,171",223,223000
Tamil Nadu,Thanjavur,0.20%,0.055,15.1,36.6,"2,640","13,24,171",398,398000
Tamil Nadu,The Nilgiris,0.07%,0.011,3,37.2,972,"13,24,171",30,30000
Tamil Nadu,Theni,0.12%,0.026,6.7,38.1,"1,653","13,24,171",111,111000
Tamil Nadu,Thiruvallur,0.34%,0.015,4,37.4,"4,550","13,24,171",183,183000
Tamil Nadu,Thiruvarur,0.11%,0.056,15.4,36.3,"1,521","13,24,171",234,234000
Tamil Nadu,Thoothukkudi,0.15%,0.035,9.1,38.4,"2,036","13,24,171",185,185000
Tamil Nadu,Tiruchirappalli,0.24%,0.024,6.8,35.9,"3,164","13,24,171",215,215000
Tamil Nadu,Tirunelveli,0.24%,0.03,7.7,38.6,"3,159","13,24,171",242,242000
Tamil Nadu,Tiruppur,0.24%,0.019,5,38,"3,130","13,24,171",156,156000
Tamil Nadu,Tiruvannamalai,0.21%,0.032,8.7,37.1,"2,752","13,24,171",240,240000
Tamil Nadu,Vellore,0.36%,0.021,5.8,36.5,"4,815","13,24,171",280,280000
Tamil Nadu,Viluppuram,0.29%,0.045,11.7,38.4,"3,832","13,24,171",447,447000
Tamil Nadu,Virudhunagar,0.16%,0.044,11.8,37.1,"2,171","13,24,171",255,255000
Telangana,Adilabad,0.22%,0.148,34.5,42.9,"2,872","13,24,171",991,991000
Telangana,Hyderabad,0.45%,0.022,5.6,40.1,"6,004","13,24,171",335,335000
Telangana,Karimnagar,0.31%,0.047,12.1,39.1,"4,042","13,24,171",490,490000
Telangana,Khammam,0.22%,0.067,16.7,40.4,"2,909","13,24,171",485,485000
Telangana,Mahbubnagar,0.28%,0.123,29.5,41.5,"3,716","13,24,171","1,097",1097000
Telangana,Medak,0.21%,0.09,22.5,39.9,"2,800","13,24,171",629,629000
Telangana,Nalgonda,0.26%,0.086,21.5,40.3,"3,486","13,24,171",748,748000
Telangana,Nizamabad,0.18%,0.102,24.1,42.3,"2,419","13,24,171",584,584000
Telangana,Rangareddy,0.44%,0.026,6.5,40.5,"5,876","13,24,171",382,382000
Telangana,Warangal,0.27%,0.067,17.4,38.7,"3,567","13,24,171",621,621000
Tripura,Dhalai,0.03%,0.147,33,44.5,365,"13,24,171",121,121000
Tripura,North Tripura,0.05%,0.168,37.2,45,722,"13,24,171",269,269000
Tripura,South Tripura,0.07%,0.077,19.2,40.2,908,"13,24,171",175,175000
Tripura,West Tripura,0.14%,0.046,11.2,40.7,"1,854","13,24,171",208,208000
Uttar Pradesh,Agra,0.35%,0.165,38,43.4,"4,603","13,24,171","1,749",1749000
Uttar Pradesh,Aligarh,0.30%,0.171,39.1,43.8,"4,035","13,24,171","1,577",1577000
Uttar Pradesh,Allahabad,0.48%,0.147,33.8,43.6,"6,365","13,24,171","2,149",2149000
Uttar Pradesh,Ambedkar Nagar,0.18%,0.173,43.6,39.7,"2,414","13,24,171","1,052",1052000
Uttar Pradesh,Auraiya,0.10%,0.136,33.1,41.2,"1,344","13,24,171",445,445000
Uttar Pradesh,Azamgarh,0.32%,0.153,39.1,39,"4,282","13,24,171","1,675",1675000
Uttar Pradesh,Baghpat,0.11%,0.099,22.9,43.4,"1,480","13,24,171",339,339000
Uttar Pradesh,Bahraich,0.27%,0.366,71.4,51.2,"3,599","13,24,171","2,572",2572000
Uttar Pradesh,Ballia,0.25%,0.165,38.7,42.5,"3,308","13,24,171","1,282",1282000
Uttar Pradesh,Balrampur,0.17%,0.35,68.7,50.8,"2,245","13,24,171","1,543",1543000
Uttar Pradesh,Banda,0.12%,0.193,44.5,43.4,"1,622","13,24,171",723,723000
Uttar Pradesh,Bara Banki,0.26%,0.223,47.8,46.5,"3,377","13,24,171","1,615",1615000
Uttar Pradesh,Bareilly,0.36%,0.193,41.2,47,"4,827","13,24,171","1,986",1986000
Uttar Pradesh,Basti,0.19%,0.203,48.1,42.2,"2,469","13,24,171","1,187",1187000
Uttar Pradesh,Bijnor,0.28%,0.131,30.8,42.5,"3,740","13,24,171","1,154",1154000
Uttar Pradesh,Budaun,0.30%,0.297,60.5,49.2,"3,912","13,24,171","2,365",2365000
Uttar Pradesh,Bulandshahr,0.29%,0.15,34.3,43.7,"3,795","13,24,171","1,302",1302000
Uttar Pradesh,Chandauli,0.17%,0.163,38.3,42.6,"2,239","13,24,171",857,857000
Uttar Pradesh,Chitrakoot,0.08%,0.275,60.9,45.1,"1,038","13,24,171",632,632000
Uttar Pradesh,Deoria,0.22%,0.144,34,42.3,"2,978","13,24,171","1,014",1014000
Uttar Pradesh,Etah,0.13%,0.178,41.6,42.7,"1,759","13,24,171",732,732000
Uttar Pradesh,Etawah,0.12%,0.117,30.1,39,"1,563","13,24,171",470,470000
Uttar Pradesh,Faizabad,0.18%,0.186,43.6,42.7,"2,373","13,24,171","1,035",1035000
Uttar Pradesh,Farrukhabad,0.14%,0.182,40.2,45.3,"1,914","13,24,171",769,769000
Uttar Pradesh,Fatehpur,0.19%,0.212,47.3,44.8,"2,540","13,24,171","1,202",1202000
Uttar Pradesh,Firozabad,0.19%,0.15,34.7,43.4,"2,578","13,24,171",894,894000
Uttar Pradesh,Gautam Buddha Nagar,0.16%,0.064,15.3,41.8,"2,103","13,24,171",322,322000
Uttar Pradesh,Ghaziabad,0.42%,0.07,16.4,42.9,"5,513","13,24,171",906,906000
Uttar Pradesh,Ghazipur,0.25%,0.19,45.4,41.9,"3,373","13,24,171","1,531",1531000
Uttar Pradesh,Gonda,0.26%,0.284,58.5,48.5,"3,468","13,24,171","2,028",2028000
Uttar Pradesh,Gorakhpur,0.32%,0.127,30.1,42.4,"4,186","13,24,171","1,260",1260000
Uttar Pradesh,Hamirpur,0.08%,0.146,35.1,41.5,"1,075","13,24,171",378,378000
Uttar Pradesh,Hardoi,0.34%,0.243,53.3,45.6,"4,493","13,24,171","2,397",2397000
Uttar Pradesh,Jalaun,0.12%,0.121,29.2,41.5,"1,534","13,24,171",448,448000
Uttar Pradesh,Jaunpur,0.31%,0.171,41.3,41.5,"4,126","13,24,171","1,706",1706000
Uttar Pradesh,Jhansi,0.15%,0.097,23,42,"1,923","13,24,171",443,443000
Uttar Pradesh,Jyotiba Phule Nagar,0.15%,0.164,35.4,46.3,"1,997","13,24,171",708,708000
Uttar Pradesh,Kannauj,0.12%,0.205,46.2,44.4,"1,620","13,24,171",748,748000
Uttar Pradesh,Kanpur Dehat,0.14%,0.171,41,41.8,"1,822","13,24,171",747,747000
Uttar Pradesh,Kanpur Nagar,0.42%,0.062,14.4,43.1,"5,531","13,24,171",796,796000
Uttar Pradesh,Kanshiram Nagar,0.11%,0.241,51.6,46.7,"1,438","13,24,171",742,742000
Uttar Pradesh,Kaushambi,0.12%,0.292,59.6,49,"1,532","13,24,171",913,913000
Uttar Pradesh,Kheri,0.33%,0.301,60.7,49.6,"4,346","13,24,171","2,639",2639000
Uttar Pradesh,Kushinagar,0.28%,0.189,42.5,44.3,"3,731","13,24,171","1,587",1587000
Uttar Pradesh,Lalitpur,0.10%,0.181,43.2,41.9,"1,341","13,24,171",579,579000
Uttar Pradesh,Lucknow,0.32%,0.062,15.1,40.9,"4,204","13,24,171",637,637000
Uttar Pradesh,Mahamaya Nagar,0.12%,0.152,37.4,40.6,"1,549","13,24,171",580,580000
Uttar Pradesh,Mahoba,0.06%,0.162,39.1,41.5,837,"13,24,171",327,327000
Uttar Pradesh,Mahrajganj,0.21%,0.22,50.4,43.6,"2,836","13,24,171","1,430",1430000
Uttar Pradesh,Mainpuri,0.15%,0.143,35.6,40.3,"1,924","13,24,171",684,684000
Uttar Pradesh,Mathura,0.23%,0.149,34.7,42.7,"3,091","13,24,171","1,074",1074000
Uttar Pradesh,Mau,0.17%,0.161,39.6,40.7,"2,280","13,24,171",902,902000
Uttar Pradesh,Meerut,0.41%,0.087,19.8,43.8,"5,376","13,24,171","1,066",1066000
Uttar Pradesh,Mirzapur,0.19%,0.2,46,43.5,"2,470","13,24,171","1,136",1136000
Uttar Pradesh,Moradabad,0.38%,0.179,38.9,46.1,"5,010","13,24,171","1,950",1950000
