State,District,Population_Share_district,MPI_District,Headcount_Ratio,Intensity_of_Deprivation,Total_Population,,Number_of_MPI_PeopleDistrict_InThousand,Number_of_MPI_PeopleDistrict
Assam,Nagaon,0.21%,0.152,35.5,42.8,"2,808","13,24,171",998,998000
Assam,Nalbari,0.06%,0.09,22.8,39.7,808,"13,24,171",184,184000
Assam,Sivasagar,0.09%,0.14,30.3,46.2,"1,226","13,24,171",372,372000
Assam,Sonitpur,0.14%,0.133,30.8,43.2,"1,917","13,24,171",590,590000
Assam,Tinsukia,0.11%,0.194,40,48.6,"1,441","13,24,171",576,576000
Assam,Udalguri,0.07%,0.129,30.6,42.2,900,"13,24,171",275,275000
Bihar,Araria,0.25%,0.346,68.7,50.3,"3,342","13,24,171","2,297",2297000
Bihar,Arwal,0.06%,0.236,53,44.5,730,"13,24,171",387,387000
Bihar,Aurangabad,0.18%,0.193,44.3,43.6,"2,414","13,24,171","1,068",1068000
Bihar,Banka,0.18%,0.28,59.9,46.8,"2,375","13,24,171","1,422",1422000
Bihar,Begusarai,0.26%,0.239,49.9,47.9,"3,458","13,24,171","1,727",1727000
Bihar,Bhagalpur,0.29%,0.221,45.5,48.5,"3,826","13,24,171","1,742",1742000
Bihar,Bhojpur,0.22%,0.171,39.4,43.5,"2,964","13,24,171","1,167",1167000
Bihar,Buxar,0.14%,0.177,41.4,42.7,"1,807","13,24,171",749,749000
Bihar,Darbhanga,0.37%,0.267,56.6,47.2,"4,898","13,24,171","2,774",2774000
Bihar,Gaya,0.38%,0.254,55.5,45.8,"5,030","13,24,171","2,789",2789000
Bihar,Gopalganj,0.22%,0.185,42.6,43.4,"2,849","13,24,171","1,214",1214000
Bihar,Jamui,0.14%,0.303,64,47.4,"1,880","13,24,171","1,203",1203000
Bihar,Jehanabad,0.08%,0.214,45.8,46.8,"1,097","13,24,171",503,503000
Bihar,Kaimur (Bhabua),0.13%,0.206,46.7,44.1,"1,684","13,24,171",786,786000
Bihar,Katihar,0.25%,0.313,62.5,50,"3,361","13,24,171","2,102",2102000
Bihar,Khagaria,0.14%,0.294,58.6,50.2,"1,855","13,24,171","1,087",1087000
Bihar,Kishanganj,0.15%,0.325,66,49.3,"1,929","13,24,171","1,273",1273000
Bihar,Lakhisarai,0.08%,0.207,43.9,47.1,"1,057","13,24,171",464,464000
Bihar,Madhepura,0.17%,0.337,68,49.6,"2,241","13,24,171","1,524",1524000
Bihar,Madhubani,0.39%,0.268,56.9,47.1,"5,193","13,24,171","2,956",2956000
Bihar,Munger,0.12%,0.184,40,46,"1,537","13,24,171",615,615000
Bihar,Muzaffarpur,0.40%,0.222,48.3,45.9,"5,316","13,24,171","2,569",2569000
Bihar,Nalanda,0.22%,0.223,47.3,47.1,"2,860","13,24,171","1,352",1352000
Bihar,Nawada,0.16%,0.238,50.6,47,"2,098","13,24,171","1,062",1062000
Bihar,Pashchim Champaran,0.35%,0.273,56.7,48.1,"4,598","13,24,171","2,607",2607000
Bihar,Patna,0.52%,0.125,28.2,44.2,"6,949","13,24,171","1,962",1962000
Bihar,Purba Champaran,0.44%,0.3,61.5,48.9,"5,791","13,24,171","3,559",3559000
Bihar,Purnia,0.28%,0.334,67,49.9,"3,705","13,24,171","2,482",2482000
Bihar,Rohtas,0.24%,0.162,39,41.6,"3,187","13,24,171","1,243",1243000
Bihar,Saharsa,0.17%,0.312,61.6,50.7,"2,229","13,24,171","1,374",1374000
Bihar,Samastipur,0.35%,0.269,55.5,48.5,"4,587","13,24,171","2,547",2547000
Bihar,Saran,0.32%,0.187,42.6,43.8,"4,226","13,24,171","1,801",1801000
Bihar,Sheikhpura,0.05%,0.237,52.2,45.5,650,"13,24,171",340,340000
Bihar,Sheohar,0.06%,0.297,62.1,47.8,830,"13,24,171",515,515000
Bihar,Sitamarhi,0.33%,0.317,65,48.8,"4,312","13,24,171","2,802",2802000
Bihar,Siwan,0.28%,0.172,39.8,43.2,"3,725","13,24,171","1,483",1483000
Bihar,Supaul,0.19%,0.314,66.3,47.4,"2,552","13,24,171","1,691",1691000
Bihar,Vaishali,0.30%,0.214,46.8,45.8,"3,911","13,24,171","1,831",1831000
Chandigarh,Chandigarh,0.07%,0.02,4.4,44.3,960,"13,24,171",43,43000
